file,n_services,language,repetition,time_ms
docker-compose_01_10svc.yml,10,Python,1,27.8099
docker-compose_01_10svc.yml,10,Python,2,19.7241
docker-compose_01_10svc.yml,10,Python,3,18.3729
docker-compose_01_10svc.yml,10,Python,4,18.8047
docker-compose_01_10svc.yml,10,Python,5,20.8247
docker-compose_01_10svc.yml,10,Java,1,478.3870
docker-compose_01_10svc.yml,10,Java,2,463.4407
docker-compose_01_10svc.yml,10,Java,3,439.6004
docker-compose_01_10svc.yml,10,Java,4,471.0455
docker-compose_01_10svc.yml,10,Java,5,467.9512
docker-compose_01_10svc.yml,10,C++,1,4.6119
docker-compose_01_10svc.yml,10,C++,2,4.1696
docker-compose_01_10svc.yml,10,C++,3,3.4731
docker-compose_01_10svc.yml,10,C++,4,4.2281
docker-compose_01_10svc.yml,10,C++,5,4.1311
docker-compose_02_20svc.yml,20,Python,1,27.5868
docker-compose_02_20svc.yml,20,Python,2,27.1820
docker-compose_02_20svc.yml,20,Python,3,30.3199
docker-compose_02_20svc.yml,20,Python,4,28.3988
docker-compose_02_20svc.yml,20,Python,5,25.8066
docker-compose_02_20svc.yml,20,Java,1,641.0464
docker-compose_02_20svc.yml,20,Java,2,541.7219
docker-compose_02_20svc.yml,20,Java,3,463.9934
docker-compose_02_20svc.yml,20,Java,4,464.3769
docker-compose_02_20svc.yml,20,Java,5,470.7501
docker-compose_02_20svc.yml,20,C++,1,4.0752
docker-compose_02_20svc.yml,20,C++,2,4.5337
docker-compose_02_20svc.yml,20,C++,3,4.2530
docker-compose_02_20svc.yml,20,C++,4,4.2594
docker-compose_02_20svc.yml,20,C++,5,3.3999
docker-compose_03_40svc.yml,40,Python,1,41.5414
docker-compose_03_40svc.yml,40,Python,2,48.9236
docker-compose_03_40svc.yml,40,Python,3,46.5335
docker-compose_03_40svc.yml,40,Python,4,61.4301
docker-compose_03_40svc.yml,40,Python,5,39.7225
docker-compose_03_40svc.yml,40,Java,1,473.6937
docker-compose_03_40svc.yml,40,Java,2,489.2494
docker-compose_03_40svc.yml,40,Java,3,574.9934
docker-compose_03_40svc.yml,40,Java,4,492.1267
docker-compose_03_40svc.yml,40,Java,5,482.3782
docker-compose_03_40svc.yml,40,C++,1,5.1731
docker-compose_03_40svc.yml,40,C++,2,5.1337
docker-compose_03_40svc.yml,40,C++,3,5.8958
docker-compose_03_40svc.yml,40,C++,4,5.4369
docker-compose_03_40svc.yml,40,C++,5,4.7106
docker-compose_04_70svc.yml,70,Python,1,63.1738
docker-compose_04_70svc.yml,70,Python,2,63.4071
docker-compose_04_70svc.yml,70,Python,3,64.4099
docker-compose_04_70svc.yml,70,Python,4,64.3463
docker-compose_04_70svc.yml,70,Python,5,81.8887
docker-compose_04_70svc.yml,70,Java,1,466.2107
docker-compose_04_70svc.yml,70,Java,2,481.3018
docker-compose_04_70svc.yml,70,Java,3,477.3833
docker-compose_04_70svc.yml,70,Java,4,514.4607
docker-compose_04_70svc.yml,70,Java,5,465.8098
docker-compose_04_70svc.yml,70,C++,1,6.4444
docker-compose_04_70svc.yml,70,C++,2,6.1781
docker-compose_04_70svc.yml,70,C++,3,6.5967
docker-compose_04_70svc.yml,70,C++,4,7.5515
docker-compose_04_70svc.yml,70,C++,5,7.1836
docker-compose_05_110svc.yml,110,Python,1,93.0195
docker-compose_05_110svc.yml,110,Python,2,89.9402
docker-compose_05_110svc.yml,110,Python,3,94.0030
docker-compose_05_110svc.yml,110,Python,4,93.5691
docker-compose_05_110svc.yml,110,Python,5,128.3380
docker-compose_05_110svc.yml,110,Java,1,542.6809
docker-compose_05_110svc.yml,110,Java,2,493.8160
docker-compose_05_110svc.yml,110,Java,3,466.4340
docker-compose_05_110svc.yml,110,Java,4,475.3230
docker-compose_05_110svc.yml,110,Java,5,471.8564
docker-compose_05_110svc.yml,110,C++,1,8.2665
docker-compose_05_110svc.yml,110,C++,2,7.8059
docker-compose_05_110svc.yml,110,C++,3,10.3948
docker-compose_05_110svc.yml,110,C++,4,8.1274
docker-compose_05_110svc.yml,110,C++,5,8.2846
docker-compose_06_160svc.yml,160,Python,1,134.4083
docker-compose_06_160svc.yml,160,Python,2,134.4716
docker-compose_06_160svc.yml,160,Python,3,205.6304
docker-compose_06_160svc.yml,160,Python,4,127.8316
docker-compose_06_160svc.yml,160,Python,5,132.1348
docker-compose_06_160svc.yml,160,Java,1,512.0675
docker-compose_06_160svc.yml,160,Java,2,503.0309
docker-compose_06_160svc.yml,160,Java,3,523.8226
docker-compose_06_160svc.yml,160,Java,4,475.0259
docker-compose_06_160svc.yml,160,Java,5,478.6460
docker-compose_06_160svc.yml,160,C++,1,11.4380
docker-compose_06_160svc.yml,160,C++,2,11.4389
docker-compose_06_160svc.yml,160,C++,3,11.6957
docker-compose_06_160svc.yml,160,C++,4,9.6231
docker-compose_06_160svc.yml,160,C++,5,9.9231
docker-compose_07_220svc.yml,220,Python,1,175.8762
docker-compose_07_220svc.yml,220,Python,2,175.9400
docker-compose_07_220svc.yml,220,Python,3,175.0855
docker-compose_07_220svc.yml,220,Python,4,176.3385
docker-compose_07_220svc.yml,220,Python,5,175.1009
docker-compose_07_220svc.yml,220,Java,1,498.8124
docker-compose_07_220svc.yml,220,Java,2,510.1424
docker-compose_07_220svc.yml,220,Java,3,485.2789
docker-compose_07_220svc.yml,220,Java,4,502.7196
docker-compose_07_220svc.yml,220,Java,5,493.4785
docker-compose_07_220svc.yml,220,C++,1,13.4101
docker-compose_07_220svc.yml,220,C++,2,14.3330
docker-compose_07_220svc.yml,220,C++,3,14.3691
docker-compose_07_220svc.yml,220,C++,4,13.9245
docker-compose_07_220svc.yml,220,C++,5,13.0839
docker-compose_08_300svc.yml,300,Python,1,231.8929
docker-compose_08_300svc.yml,300,Python,2,229.7063
docker-compose_08_300svc.yml,300,Python,3,299.6533
docker-compose_08_300svc.yml,300,Python,4,235.6938
docker-compose_08_300svc.yml,300,Python,5,244.0750
docker-compose_08_300svc.yml,300,Java,1,508.2954
docker-compose_08_300svc.yml,300,Java,2,491.1779
docker-compose_08_300svc.yml,300,Java,3,498.1678
docker-compose_08_300svc.yml,300,Java,4,508.5376
docker-compose_08_300svc.yml,300,Java,5,492.2858
docker-compose_08_300svc.yml,300,C++,1,17.3764
docker-compose_08_300svc.yml,300,C++,2,16.9220
docker-compose_08_300svc.yml,300,C++,3,17.6497
docker-compose_08_300svc.yml,300,C++,4,15.4160
docker-compose_08_300svc.yml,300,C++,5,15.0741
docker-compose_09_390svc.yml,390,Python,1,297.4661
docker-compose_09_390svc.yml,390,Python,2,315.3598
docker-compose_09_390svc.yml,390,Python,3,297.0648
docker-compose_09_390svc.yml,390,Python,4,302.7418
docker-compose_09_390svc.yml,390,Python,5,326.8310
docker-compose_09_390svc.yml,390,Java,1,569.8761
docker-compose_09_390svc.yml,390,Java,2,496.4058
docker-compose_09_390svc.yml,390,Java,3,502.7459
docker-compose_09_390svc.yml,390,Java,4,525.0672
docker-compose_09_390svc.yml,390,Java,5,527.8073
docker-compose_09_390svc.yml,390,C++,1,22.5696
docker-compose_09_390svc.yml,390,C++,2,20.7442
docker-compose_09_390svc.yml,390,C++,3,19.7052
docker-compose_09_390svc.yml,390,C++,4,20.9073
docker-compose_09_390svc.yml,390,C++,5,20.8939
docker-compose_10_500svc.yml,500,Python,1,381.3240
docker-compose_10_500svc.yml,500,Python,2,388.4726
docker-compose_10_500svc.yml,500,Python,3,403.1692
docker-compose_10_500svc.yml,500,Python,4,387.0111
docker-compose_10_500svc.yml,500,Python,5,384.6254
docker-compose_10_500svc.yml,500,Java,1,698.1503
docker-compose_10_500svc.yml,500,Java,2,516.7376
docker-compose_10_500svc.yml,500,Java,3,509.9008
docker-compose_10_500svc.yml,500,Java,4,500.3120
docker-compose_10_500svc.yml,500,Java,5,559.6416
docker-compose_10_500svc.yml,500,C++,1,24.7778
docker-compose_10_500svc.yml,500,C++,2,24.0426
docker-compose_10_500svc.yml,500,C++,3,22.5604
docker-compose_10_500svc.yml,500,C++,4,23.2542
docker-compose_10_500svc.yml,500,C++,5,25.8535
